 ;à;á;â;ã;ä;å;æ;ç;è;é;ê;ë;ì;í;î;ï;ð;ñ;ò;ó;ô;õ;ö;÷;ø;ù;û;ü;ý;þ;ÿ
ô;0.00021908163947331288;3.71324812666632e-06;2.599273688666424e-05;0.0;7.42649625333264e-06;0.00015966966944665176;0.0;7.42649625333264e-06;0.0008206278359932567;0.0;3.341923313999688e-05;0.0001299636844333212;1.485299250666528e-05;2.227948875999792e-05;6.683846627999375e-05;2.227948875999792e-05;0.0006312521815332744;2.970598501333056e-05;1.485299250666528e-05;0.00010768419567332328;1.113974437999896e-05;0.0;0.0;3.71324812666632e-06;0.0;0.0;1.85662406333316e-05;0.0;3.71324812666632e-06;0.0;3.71324812666632e-06
õ;0.0012030923930398878;0.0001336769325599875;0.0004084572939332952;0.00017452266195331704;0.00014110342881332017;0.0001113974437999896;4.8272225646662164e-05;0.0001113974437999896;0.0005272812339866174;3.71324812666632e-06;0.00019308890258664866;0.00021536839134664656;0.00023764788010664447;0.00043445003081995945;0.003000304486346387;0.00036389831641329935;0.00023022138385331184;0.00041217054205996154;0.00014110342881332017;0.00021908163947331288;2.227948875999792e-05;3.71324812666632e-06;3.71324812666632e-06;7.42649625333264e-05;2.599273688666424e-05;0.0;0.0;7.42649625333264e-06;4.8272225646662164e-05;0.0;4.084572939332952e-05
ö;0.0007203701365732661;1.113974437999896e-05;4.8272225646662164e-05;4.084572939332952e-05;2.227948875999792e-05;0.0013479090699798741;3.71324812666632e-06;3.71324812666632e-06;0.000267353865119975;0.0;0.0002042286469666476;1.485299250666528e-05;2.970598501333056e-05;5.198547377332848e-05;0.0005050017452266195;2.970598501333056e-05;3.71324812666632e-06;4.084572939332952e-05;2.227948875999792e-05;0.0005866932040132786;0.0;3.71324812666632e-06;0.0;0.0;0.0;0.0;0.00014110342881332017;0.0;0.0;0.0;7.42649625333264e-06
÷;0.0025955604405397577;1.113974437999896e-05;3.71324812666632e-06;3.71324812666632e-06;3.71324812666632e-06;0.00343104126903968;0.0;7.42649625333264e-06;0.0013553355662332069;0.0;0.00027849360949997403;3.341923313999688e-05;7.42649625333264e-06;0.0005012884970999532;0.00015595642131998545;1.485299250666528e-05;2.599273688666424e-05;2.599273688666424e-05;0.004077146443079619;0.0006683846627999376;0.0;0.0;0.0;7.42649625333264e-06;9.2831203166658e-05;0.0;0.0;0.0002227948875999792;3.71324812666632e-06;0.0;0.0
ø;0.0015707039575798534;1.113974437999896e-05;3.341923313999688e-05;0.0;1.485299250666528e-05;0.0024804497486131017;0.0;0.0;0.0022465151166331234;0.0;0.00047529576021328895;0.0005384209783666164;4.455897751999584e-05;0.0004270235345666268;0.0004455897751999584;8.169145878665904e-05;3.71324812666632e-06;7.42649625333264e-06;0.00019680215071331497;0.000371324812666632;0.0;0.0;0.0;1.113974437999896e-05;3.71324812666632e-06;0.0;0.0;0.00036761156453996567;0.0;0.0;0.0
ù;0.00048272225646662164;0.0;0.0;0.0;3.71324812666632e-06;0.0013776150549932047;0.0;0.0;0.0007389363772065977;0.0;0.0;0.0;0.0;3.341923313999688e-05;0.0;0.0;3.71324812666632e-06;0.0;0.0;7.055171440666009e-05;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.599273688666424e-05;0.0;0.0;0.0
û;7.055171440666009e-05;0.0008540470691332536;0.0017118073863931736;0.00023393463197997816;0.0003119128426399709;0.0011288274305065614;6.683846627999375e-05;0.00024136112823331082;0.00048643550459328796;0.0017675061082931683;0.0005235679858599511;0.002688391643706416;0.00199772749214648;0.0009877240016932412;0.0003527585720333004;0.0006386786777866071;0.00047158251208662263;0.0013998945437532027;0.0007872086028532599;0.00011511069192665592;1.113974437999896e-05;0.0010991214454932308;1.485299250666528e-05;0.0002970598501333056;0.0006795244071799366;0.0;0.0;0.0;6.312521815332744e-05;3.71324812666632e-06;7.055171440666009e-05
ü;0.0006461051740399397;0.0004901487527199542;0.0014555932656531974;0.0003527585720333004;0.0004455897751999584;0.0017378001232798378;8.911795503999168e-05;0.00048272225646662164;0.0009728710091865759;3.71324812666632e-06;0.0021759634022264635;0.0001485299250666528;0.0007203701365732661;0.0022799343497731206;0.0008391940766265884;0.001043422723593236;0.00025621412073997607;0.002190816394733129;0.00053470773023995;0.00024136112823331082;5.56987218999948e-05;0.0001299636844333212;9.2831203166658e-05;0.00048643550459328796;0.00053470773023995;7.42649625333264e-06;0.0;0.0;0.0002042286469666476;0.0005495607227466154;0.0006943773996866019
ý;0.0;0.0;3.71324812666632e-06;1.485299250666528e-05;3.71324812666632e-06;0.0;0.0;7.42649625333264e-06;0.0;1.85662406333316e-05;8.540470691332536e-05;0.00010025769941999065;1.113974437999896e-05;4.455897751999584e-05;0.0;7.42649625333264e-06;7.055171440666009e-05;8.911795503999168e-05;0.0026661121549464177;0.0;0.0;3.71324812666632e-06;3.71324812666632e-06;0.0;0.0;0.0;0.0;0.0;3.71324812666632e-06;0.0;0.0
þ;0.00017452266195331704;0.00047900900833995527;0.0003490453239066341;0.0001448166769399865;0.00053470773023995;7.797821065999272e-05;8.169145878665904e-05;0.00013739018068665386;0.00034533207577996776;0.0;0.00030077309825997194;0.0001448166769399865;0.0001485299250666528;0.00039360430142662995;0.00023393463197997816;0.0003341923313999688;0.00021908163947331288;0.0004493030233266247;0.0006832376553066029;0.00010768419567332328;3.341923313999688e-05;1.85662406333316e-05;7.797821065999272e-05;0.00018194915820664967;9.2831203166658e-05;0.000568126963379947;0.0;0.0;3.71324812666632e-05;4.084572939332952e-05;4.455897751999584e-05
ÿ;0.00030448634638663826;0.0005124282414799521;0.0016672484088731778;0.0006943773996866019;0.0013776150549932047;0.00048643550459328796;0.0007315098809532651;0.0021499706653397995;0.001010003490453239;2.227948875999792e-05;0.001217945385546553;0.0011473936711398928;0.0007203701365732661;0.0022465151166331234;0.0008132013397399241;0.001162246663646558;0.0003564718201599667;0.0021016984396931373;0.002216809131619793;0.00022650813572664552;4.084572939332952e-05;0.00022650813572664552;6.683846627999375e-05;0.0005755534596332796;7.797821065999272e-05;0.00017452266195331704;0.0;0.0;0.00012253718817998856;0.00012253718817998856;0.00032676583514663617
