,а,б,в,г,д,е,ж,з,и,й,к,л,м,н,о,п,р,с,т,у,ф,х,ц,ч,ш,щ,ъ,ы,ь,э,ю,я
ф,0.0002670448813430577,1.1868661393024788e-06,1.1868661393024788e-06,0.0,0.0,5.6969574686518984e-05,0.0,1.1868661393024788e-06,0.0003572467079300461,0.0,3.5605984179074365e-06,1.0681795253722309e-05,4.747464557209915e-06,0.0,0.00012462094462676026,7.121196835814873e-06,9.257555886559334e-05,2.3737322786049575e-06,1.6616125950234703e-05,0.00012818154304466772,1.3055527532327266e-05,0.0,0.0,2.3737322786049575e-06,1.1868661393024788e-06,0.0,0.0,2.611105506465453e-05,0.00012699467690536524,0.0,0.0,0.0
х,0.0005293422981289055,0.0001341158737411801,0.0005115393060393683,6.527763766163634e-05,0.00021719650349235362,0.0004510091329349419,4.154031487558676e-05,8.070689747256856e-05,0.000894897069034069,0.0,0.0001626006610844396,0.00024212069241770566,0.00018633798387048916,0.00043914047154191714,0.002893579647619443,0.0004011607550842378,0.0001839642515918842,0.00033706998356190397,0.0002005803775421189,0.0002694186136216627,7.121196835814873e-06,1.0681795253722309e-05,9.49492911441983e-06,9.613615728350077e-05,4.154031487558676e-05,2.3737322786049575e-06,0.0,0.0,0.0,6.171703924372889e-05,0.0,4.035344873628428e-05
ц,0.0006231047231338014,7.121196835814873e-06,7.002510221884624e-05,5.9343306965123936e-06,1.3055527532327266e-05,0.0009055788642877913,2.3737322786049575e-06,9.49492911441983e-06,0.00017446932247746437,0.0,4.035344873628428e-05,4.747464557209915e-06,1.3055527532327266e-05,3.679285031837684e-05,0.0002670448813430577,6.171703924372889e-05,1.3055527532327266e-05,3.0858519621864446e-05,3.3232251900469406e-05,0.0002302520310246809,3.5605984179074365e-06,1.1868661393024788e-06,0.0,1.780299208953718e-05,1.1868661393024788e-06,0.0,0.0,0.0001898985822883966,0.0,7.121196835814873e-06,1.1868661393024788e-06,8.308062975117352e-06
ч,0.0030158268599675985,2.1363590507444617e-05,6.765136994024129e-05,8.308062975117352e-06,2.729792120395701e-05,0.00460148002207571,1.1868661393024788e-06,9.49492911441983e-06,0.0018871171614909413,0.0,0.0006515895104770608,2.4924188925352055e-05,1.4242393671629746e-05,0.0010574977301185085,0.0001293684091839702,6.527763766163634e-05,0.00013174214146257515,3.91665825969818e-05,0.005028751832224602,0.0008177507699794078,0.0,8.308062975117352e-06,0.0,1.3055527532327266e-05,0.00016853499178095198,0.0,0.0,0.0,0.0002907822041291073,5.9343306965123936e-06,0.0,1.1868661393024787e-05
ш,0.0010753007222080457,4.747464557209915e-06,1.4242393671629746e-05,2.3737322786049575e-06,4.747464557209915e-06,0.002550575333361027,1.1868661393024788e-06,2.3737322786049575e-06,0.0016248197447050934,0.0,0.0005435846918005353,0.0006302259199696162,1.5429259810932223e-05,0.00048186765255680636,0.00021600963735305114,7.121196835814873e-06,4.747464557209915e-06,5.9343306965123936e-06,5.222211012930906e-05,0.00023856009399979823,2.3737322786049575e-06,0.0,1.1868661393024788e-06,1.1868661393024788e-06,1.1868661393024788e-06,0.0,0.0,0.0,0.0007489125338998641,0.0,0.0,2.3737322786049575e-06
щ,0.0004367667392633122,0.0,0.0,0.0,0.0,0.0016319409415409083,0.0,0.0,0.0006349733845268261,0.0,0.0,0.0,0.0,5.815644082582146e-05,0.0,0.0,4.747464557209915e-06,0.0,0.0,0.0001792167870346743,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.628777943279667e-05,0.0,0.0,0.0
ъ,1.1868661393024788e-06,0.0,0.0,0.0,0.0,3.797971645767932e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00020295410982072387
ы,5.934330696512394e-05,0.0003964132905270279,0.0014503504222276292,0.00021126217279584123,0.0004616909281886642,0.0010005281554319896,7.714629905466112e-05,0.00022550456646747095,0.00047355958958168905,0.0014859564064067035,0.00039878702280563287,0.002314388971639834,0.0012984315563969117,0.0007406044709247467,0.0003121457946365519,0.0005388372272433254,0.000361994172487256,0.0012343407848745779,0.0012497700446855102,0.00015310573197001976,4.747464557209915e-06,0.000983912029481755,5.9343306965123936e-06,0.0003477517788156263,0.0005518927547756526,1.0681795253722309e-05,0.0,0.0,0.0,0.00010444422025861813,1.1868661393024788e-06,5.6969574686518984e-05
ь,0.00029909026710422465,0.0005186605028751832,0.0014301736978594869,0.00032282758989027425,0.0006492157781984558,0.0009803514310638476,0.00010919168481582805,0.0005257816997109981,0.001427799965580882,0.0,0.0023464343574010004,0.00021482277121374866,0.0008367406282082476,0.004125546700215416,0.0009672959035315202,0.0012557043753820226,0.0003180801253330643,0.0021945154915702834,0.0010396947380289713,0.0003133326607758544,4.628777943279667e-05,0.0003133326607758544,0.00011037855095513052,0.0007643417937107963,0.0003762365661588858,3.797971645767932e-05,0.0,0.0,0.0,0.00023737322786049575,0.0003845446291340031,0.0008343668959296426
э,0.0,0.0,7.121196835814873e-06,7.121196835814873e-06,9.49492911441983e-06,0.0,0.0,0.0,0.0,1.5429259810932223e-05,4.984837785070411e-05,5.9343306965123936e-06,3.5605984179074365e-06,2.8484787343259492e-05,0.0,7.121196835814873e-06,1.1868661393024788e-06,9.49492911441983e-06,0.0033006747334001934,0.0,1.0681795253722309e-05,5.222211012930906e-05,0.0,2.3737322786049575e-06,0.0,0.0,0.0,0.0,0.0,1.5429259810932223e-05,0.0,0.0
ю,8.664122816908095e-05,0.000446261668377732,0.00030858519621864447,6.290390538303138e-05,0.0005198473690144857,5.815644082582146e-05,8.070689747256856e-05,9.376242500489582e-05,0.0002955296686863172,1.1868661393024788e-06,0.0002622974167858478,6.290390538303138e-05,0.000195832912984909,0.00032164072375097174,0.00021363590507444619,0.00035605984179074365,0.00017802992089537183,0.0005780038098403071,0.0005981805342084493,8.308062975117352e-05,1.898985822883966e-05,3.204538576116693e-05,1.4242393671629746e-05,0.00029315593640771224,9.138869272629087e-05,0.00020295410982072387,0.0,0.0,0.0,5.3408976268611546e-05,4.5100913293494195e-05,6.290390538303138e-05
я,0.0003335093851439965,0.0004510091329349419,0.0017945416026253478,0.0002812872750146875,0.0012651993044964424,0.0004521959990742444,0.00029909026710422465,0.0006029279987656592,0.0011560076196806142,0.00010800481867652557,0.0007940134471933583,0.0011607550842378243,0.0007631549275714938,0.002171965034923536,0.0008545436202977847,0.0012996184225362143,0.0005317160304075105,0.002065147082386313,0.002758276907738961,0.00034419118039771883,3.204538576116693e-05,0.0003418174481191139,0.000111565417094433,0.0006266653215517088,5.57827085472165e-05,0.00014479766899490242,0.0,0.0,0.0,0.00018871171614909412,0.00011393914937303797,0.00026111055064654534
