,а,б,в,г,д,е,ж,з,и,й,к,л,м,н,о,п,р,с,т,у,ф,х,ц,ч,ш,щ,ъ,ы,ь,э,ю,я
ф,0.00026585769966625363,0.0,0.0,0.0,0.0,6.171696599395174e-05,0.0,0.0,0.0003513119602732637,0.0,0.0,1.4242376767835016e-05,4.747458922611672e-06,0.0,0.00012818139091051514,7.121188383917508e-06,8.070680168439843e-05,2.373729461305836e-06,1.4242376767835016e-05,0.00014005003821704432,1.4242376767835016e-05,0.0,0.0,2.373729461305836e-06,0.0,0.0,0.0,3.3232212458281704e-05,0.00010919155522006845,0.0,0.0,0.0
х,0.00048424081010639054,0.00011631274360398597,0.0005269679404098956,5.9343236532645905e-05,0.00022550429882405444,0.00047474589226116724,4.0353400842199214e-05,6.646442491656341e-05,0.0008664112533766302,0.0,0.00017328225067532604,0.00025398905235972445,0.0001970195452883844,0.0004605035154933322,0.0028722126481800616,0.0004415136798028855,0.00017328225067532604,0.00034656450135065207,0.00022075683990144276,0.0002634839702049478,9.494917845223344e-06,9.494917845223344e-06,1.6616106229140852e-05,8.545426060701009e-05,4.5100859764810885e-05,0.0,0.0,0.0,0.0,6.171696599395174e-05,0.0,3.7979671380893375e-05
ц,0.000652775601859105,2.373729461305836e-06,7.833307222309259e-05,4.747458922611672e-06,9.494917845223344e-06,0.0009494917845223345,2.373729461305836e-06,9.494917845223344e-06,0.00014954495606226767,0.0,4.2727130303505046e-05,9.494917845223344e-06,1.1868647306529181e-05,3.3232212458281704e-05,0.0002634839702049478,3.7979671380893375e-05,9.494917845223344e-06,2.8484753535670033e-05,2.6111024074364197e-05,0.00023737294613058362,4.747458922611672e-06,0.0,0.0,1.6616106229140852e-05,0.0,0.0,0.0,0.00018515089798185522,0.0,1.1868647306529181e-05,2.373729461305836e-06,9.494917845223344e-06
ч,0.002955293179325766,1.8989835690446687e-05,7.833307222309259e-05,9.494917845223344e-06,2.6111024074364197e-05,0.004555186836245899,0.0,7.121188383917508e-06,0.0019013572985059747,0.0,0.0006931290027013041,3.085848299697587e-05,1.6616106229140852e-05,0.0010990367405846022,0.00013292884983312682,7.833307222309259e-05,0.0001376763087557385,3.085848299697587e-05,0.00515336666049497,0.0008355527703796543,0.0,9.494917845223344e-06,0.0,7.121188383917508e-06,0.0001970195452883844,0.0,0.0,0.0,0.000275352617511477,7.121188383917508e-06,0.0,1.1868647306529181e-05
ш,0.0010847943638167671,4.747458922611672e-06,1.6616106229140852e-05,2.373729461305836e-06,4.747458922611672e-06,0.0025398905235972445,0.0,2.373729461305836e-06,0.0016093885747653568,0.0,0.000564947611790789,0.0006219171188621291,1.6616106229140852e-05,0.0005079781047194489,0.0002183831104401369,1.4242376767835016e-05,2.373729461305836e-06,4.747458922611672e-06,5.9343236532645905e-05,0.00023499921666927777,2.373729461305836e-06,0.0,0.0,2.373729461305836e-06,2.373729461305836e-06,0.0,0.0,0.0,0.0007334824035435033,0.0,0.0,0.0
щ,0.0004510085976481089,0.0,0.0,0.0,0.0,0.0015951461979975218,0.0,0.0,0.0006290383072460466,0.0,0.0,0.0,0.0,6.646442491656341e-05,0.0,0.0,4.747458922611672e-06,0.0,0.0,0.0001970195452883844,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.9343236532645905e-05,0.0,0.0,0.0
ъ,0.0,0.0,0.0,0.0,0.0,3.7979671380893375e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00019227208636577272
ы,6.883815437786925e-05,0.0004533823271094147,0.0014693385365483124,0.00017802970959793771,0.0004082814673446038,0.000970855349674087,8.545426060701009e-05,0.00023737294613058362,0.0005008569163355314,0.0015405504203874875,0.00039878654949938045,0.0022218107757822625,0.001288935097489069,0.00075247223923395,0.00033944331296673454,0.0005340891287938131,0.00036555433704109873,0.001217723213649894,0.001288935097489069,0.00013530257929443267,7.121188383917508e-06,0.0009233807604479702,4.747458922611672e-06,0.00035843314865718125,0.000550705235022954,1.1868647306529181e-05,0.0,0.0,0.0,0.000130555120371821,0.0,5.6969507071340066e-05
ь,0.000303837371047147,0.0005127255636420606,0.0014598436187030891,0.0003157060183536762,0.0006598967902430224,0.0009779765380580044,9.494917845223345e-05,0.0005530789644842599,0.0014218639473221957,0.0,0.0023855981086123653,0.00017090852121402018,0.0008782799006831594,0.004213369793817859,0.0009779765380580044,0.0012628240734147047,0.0002967161826632295,0.002186204833862675,0.0010729257165102378,0.0003062111005084528,4.0353400842199214e-05,0.0002919687237406178,0.00010919155522006845,0.0007690883454630909,0.00039878654949938045,3.3232212458281704e-05,0.0,0.0,0.0,0.00022075683990144276,0.0003608068781184871,0.0008806536301444652
э,0.0,0.0,7.121188383917508e-06,9.494917845223344e-06,7.121188383917508e-06,0.0,0.0,0.0,0.0,2.1363565151752523e-05,5.459577761003423e-05,7.121188383917508e-06,0.0,2.1363565151752523e-05,0.0,9.494917845223344e-06,0.0,1.4242376767835016e-05,0.0032353932557598547,0.0,1.4242376767835016e-05,4.5100859764810885e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1363565151752523e-05,0.0,0.0
ю,8.782799006831593e-05,0.00044626113872549717,0.00034656450135065207,6.171696599395174e-05,0.0005317153993325073,5.459577761003423e-05,8.545426060701009e-05,9.494917845223345e-05,0.00031333228889237035,2.373729461305836e-06,0.000261110240743642,7.121188383917509e-05,0.00020651446313360773,0.00032757466566020536,0.00021363565151752526,0.0003489382308119579,0.00017802970959793771,0.0005863111769425415,0.0005768162590973182,9.969663737484511e-05,1.4242376767835016e-05,2.3737294613058362e-05,1.6616106229140852e-05,0.0002516153228984186,9.257544899092761e-05,0.00020888819259491358,0.0,0.0,0.0,5.6969507071340066e-05,4.5100859764810885e-05,6.646442491656341e-05
я,0.00034181704242804037,0.0004605035154933322,0.0018301454146667996,0.0002919687237406178,0.0012580766144920932,0.00046287724495463806,0.00029908991212453535,0.0005578264234068715,0.0011370164119654954,9.732290791353927e-05,0.0008260578525344309,0.001127521494120272,0.0007619671570791733,0.00208650819648783,0.0008569163355314068,0.0012509554261081756,0.0005435840466390364,0.0020651446313360773,0.0026989303975047357,0.0003679280665024046,4.0353400842199214e-05,0.00033944331296673454,0.00011156528468137429,0.000607674742094294,4.5100859764810885e-05,0.00014242376767835017,0.0,0.0,0.0,0.00020176700421099608,0.00011631274360398597,0.0002444941345145011
