
=== Літери з пробілами  ===
Символ Кількість  % від загального
сс    32              0.548%
ья    31              0.531%
рн    31              0.531%
шв    30              0.514%
су    30              0.514%
ос    29              0.497%
нм    29              0.497%
мщ    29              0.497%
ри    29              0.497%
юс    28              0.480%
иб    27              0.462%
бщ    27              0.462%
нс    27              0.462%
мс    27              0.462%
ул    27              0.462%
фк    27              0.462%
лц    27              0.462%
ьц    27              0.462%
сч    27              0.462%
ис    26              0.445%
ье    26              0.445%
рщ    26              0.445%
св    25              0.428%
кя    25              0.428%
ав    25              0.428%
яь    25              0.428%
эи    24              0.411%
тс    24              0.411%
цн    23              0.394%
кл    23              0.394%
чс    23              0.394%
нш    22              0.377%
лв    22              0.377%
ст    22              0.377%
ын    22              0.377%
шд    22              0.377%
юи    21              0.360%
ыо    21              0.360%
вп    21              0.360%
сп    21              0.360%
кк    21              0.360%
ры    21              0.360%
фд    20              0.343%
жл    20              0.343%
нк    20              0.343%
щш    20              0.343%
щь    20              0.343%
ви    20              0.343%
лр    19              0.325%
их    19              0.325%
си    19              0.325%
нщ    19              0.325%
щщ    19              0.325%
еу    19              0.325%
ця    18              0.308%
жв    18              0.308%
сц    18              0.308%
уб    18              0.308%
нн    18              0.308%
ду    17              0.291%
мн    17              0.291%
ьк    17              0.291%
зф    17              0.291%
сх    17              0.291%
эк    17              0.291%
кч    17              0.291%
оз    17              0.291%
ны    17              0.291%
яя    17              0.291%
дц    17              0.291%
ао    16              0.274%
йь    16              0.274%
ию    16              0.274%
жс    16              0.274%
нв    16              0.274%
ть    16              0.274%
вй    15              0.257%
ск    15              0.257%
иь    15              0.257%
кц    15              0.257%
щн    15              0.257%
сш    15              0.257%
вз    15              0.257%
нь    15              0.257%
вд    14              0.240%
юд    14              0.240%
ьв    14              0.240%
кз    14              0.240%
яс    14              0.240%
цэ    14              0.240%
яв    14              0.240%
чщ    14              0.240%
нф    14              0.240%
ни    14              0.240%
ив    14              0.240%
цв    14              0.240%
нч    14              0.240%
пр    14              0.240%
щс    14              0.240%
щх    14              0.240%
ьс    14              0.240%
рс    14              0.240%
чз    14              0.240%
пн    14              0.240%
ке    13              0.223%
шс    13              0.223%
ню    13              0.223%
нд    13              0.223%
дд    13              0.223%
на    13              0.223%
сэ    13              0.223%
щи    13              0.223%
нр    13              0.223%
ищ    13              0.223%
пв    13              0.223%
щб    13              0.223%
вь    13              0.223%
ир    13              0.223%
сю    12              0.206%
яз    12              0.206%
ьа    12              0.206%
щр    12              0.206%
кт    12              0.206%
кф    12              0.206%
еи    12              0.206%
шь    12              0.206%
др    12              0.206%
фи    12              0.206%
сл    12              0.206%
жь    12              0.206%
вш    12              0.206%
сй    12              0.206%
цм    12              0.206%
вр    12              0.206%
ки    12              0.206%
кд    11              0.188%
бс    11              0.188%
сы    11              0.188%
мь    11              0.188%
нй    11              0.188%
ус    11              0.188%
ян    11              0.188%
цр    11              0.188%
ьз    11              0.188%
кх    11              0.188%
мк    11              0.188%
ии    11              0.188%
йд    11              0.188%
ыв    11              0.188%
цф    11              0.188%
бк    11              0.188%
лб    11              0.188%
вэ    11              0.188%
ыэ    10              0.171%
дь    10              0.171%
ьл    10              0.171%
лы    10              0.171%
ху    10              0.171%
ыц    10              0.171%
но    10              0.171%
уь    10              0.171%
зц    10              0.171%
кс    10              0.171%
що    10              0.171%
щк    10              0.171%
оь    10              0.171%
кп    10              0.171%
иэ    10              0.171%
цш    10              0.171%
уа    10              0.171%
вю    10              0.171%
ьй    10              0.171%
ов    10              0.171%
сн    10              0.171%
мю    10              0.171%
сщ    10              0.171%
нц    10              0.171%
ка    10              0.171%
со    10              0.171%
йв    10              0.171%
яу    10              0.171%
вм    10              0.171%
хд    10              0.171%
мд    9               0.154%
рц    9               0.154%
щы    9               0.154%
нл    9               0.154%
щм    9               0.154%
нз    9               0.154%
фс    9               0.154%
зй    9               0.154%
кн    9               0.154%
бж    9               0.154%
фр    9               0.154%
нэ    9               0.154%
пм    9               0.154%
иц    9               0.154%
ьи    9               0.154%
щя    9               0.154%
нг    9               0.154%
уя    9               0.154%
ьб    9               0.154%
ши    9               0.154%
эч    9               0.154%
ие    9               0.154%
км    9               0.154%
мб    9               0.154%
ок    9               0.154%
ыу    9               0.154%
цс    9               0.154%
ьо    9               0.154%
яб    9               0.154%
чя    9               0.154%
ид    9               0.154%
бч    9               0.154%
фь    9               0.154%
ро    8               0.137%
ци    8               0.137%
лх    8               0.137%
хи    8               0.137%
ды    8               0.137%
иж    8               0.137%
кж    8               0.137%
ьп    8               0.137%
ьн    8               0.137%
цз    8               0.137%
сг    8               0.137%
хн    8               0.137%
би    8               0.137%
ку    8               0.137%
ур    8               0.137%
ьх    8               0.137%
ющ    8               0.137%
цй    8               0.137%
ож    8               0.137%
еэ    8               0.137%
рл    8               0.137%
вя    8               0.137%
иф    8               0.137%
кр    7               0.120%
яэ    7               0.120%
об    7               0.120%
вж    7               0.120%
пд    7               0.120%
жц    7               0.120%
жя    7               0.120%
ум    7               0.120%
ош    7               0.120%
уц    7               0.120%
ву    7               0.120%
бв    7               0.120%
ьт    7               0.120%
де    7               0.120%
еб    7               0.120%
ва    7               0.120%
лл    7               0.120%
ьр    7               0.120%
ьш    7               0.120%
чт    7               0.120%
нб    7               0.120%
яр    7               0.120%
бм    7               0.120%
нп    7               0.120%
хс    7               0.120%
щэ    7               0.120%
ба    7               0.120%
лс    7               0.120%
щу    7               0.120%
ди    7               0.120%
зи    7               0.120%
йс    7               0.120%
ия    7               0.120%
ло    7               0.120%
яо    7               0.120%
щц    7               0.120%
зь    7               0.120%
нж    7               0.120%
ущ    7               0.120%
ня    6               0.103%
да    6               0.103%
эм    6               0.103%
ьщ    6               0.103%
щт    6               0.103%
щл    6               0.103%
фт    6               0.103%
цт    6               0.103%
ер    6               0.103%
хэ    6               0.103%
уз    6               0.103%
рк    6               0.103%
кщ    6               0.103%
гц    6               0.103%
тг    6               0.103%
кй    6               0.103%
см    6               0.103%
уп    6               0.103%
эю    6               0.103%
сб    6               0.103%
цб    6               0.103%
вы    6               0.103%
ыь    6               0.103%
ек    6               0.103%
дв    6               0.103%
оц    6               0.103%
лт    6               0.103%
бр    6               0.103%
зе    6               0.103%
уй    6               0.103%
ьм    6               0.103%
ср    6               0.103%
са    6               0.103%
во    6               0.103%
ко    6               0.103%
дж    6               0.103%
цх    6               0.103%
ик    6               0.103%
эд    6               0.103%
вл    6               0.103%
аи    6               0.103%
щй    6               0.103%
ьы    6               0.103%
сж    6               0.103%
ха    6               0.103%
ьж    6               0.103%
кг    6               0.103%
гс    6               0.103%
оу    6               0.103%
йк    6               0.103%
ща    5               0.086%
еф    5               0.086%
дф    5               0.086%
ол    5               0.086%
дт    5               0.086%
хм    5               0.086%
зк    5               0.086%
ся    5               0.086%
ьг    5               0.086%
рд    5               0.086%
ць    5               0.086%
цю    5               0.086%
сф    5               0.086%
ую    5               0.086%
зз    5               0.086%
эп    5               0.086%
